19,9200
23,11500
18,10200
24,11200
9,5900
13,7800
18,9100
28,11200
18,8600
5,4000
9,5800
7,5300
25,13600
2,1900
7,3100
23,10200
2,2000
9,5400
26,11400
23,10000
32,15400
28,13200
14,8300
13,7800
20,10700
27,14400
1,400
20,11800
30,13000
34,13400
30,14500
29,14800
30,13800
11,5400
14,7600
19,11200
8,6000
16,7200
20,10100
13,8800
22,8600
13,8600
17,11400
29,11600
15,6700
23,10900
8,6300
27,12100
32,13800
27,12400
22,11600
31,13800
25,10900
4,3400
15,8500
7,3200
21,11400
24,12300
24,12100
20,9700
15,9000
24,10300
11,7300
32,13200
6,3200
12,7000
11,5800
1,800
2,2700
27,13100
19,8600
30,14900
30,13800
13,7200
22,10800
27,10500
18,12000
24,12600
6,4500
25,11500
13,8600
21,9600
7,6300
14,8600
14,8500
24,10900
12,7400
30,12200
22,10400
32,15500
24,9900
6,4500
25,11600
24,10600
27,14200
29,13700
1,800
23,12500
6,3200
9,6500
12,5800
31,12300
24,11800
25,13800
9,5600
29,12300
33,13300
8,4400
19,9800
7,5900
10,5200
3,2100
15,10300
3,1900
18,11300
25,11700
21,10300
9,4100
30,13900
7,5400
22,11500
11,5500
21,12700
13,7800
11,4400
25,13500
2,1700
6,3700
21,7600
23,11200
4,1600
16,10200
12,7700
29,13700
1,500
11,8500
16,11100
22,10400
20,9500
21,9000
14,9600
23,10700
26,11800
19,9100
21,12200
5,4700
22,10000
17,9500
30,15500
37,13500
24,13700
7,3600
5,2900
10,5300
7,5400
4,3600
27,14100
14,7500
9,7200
25,13000
30,12300
4,2000
5,4600
19,9600
20,12400
15,8900
18,8800
6,3000
27,12100
20,12200
5,2900
7,3400
17,6500
32,13700
30,14100
22,13000
7,5200
27,13000
29,12700
3,2800
15,8900
6,5400
9,5900
29,12500
18,9800
21,11100
20,9600
5,4200
28,13300
9,8000
38,13800
12,6600
30,13100
25,12900
13,9400
9,6500
4,2700
4,3000
16,8900
21,11100
